School Report
Created On:,"Oct 31, 2022"
School:,All schools
Roles:,All roles
""
School,Administrators,Staff Members,Teachers,Parents,Students,Other
    SBBCOM 300 School 54,0,0,0,0,0,1
    SBBCOM 300 School 55,0,0,0,0,0,0
    SBBCOM 300 School 56,0,0,0,0,0,0
    SBBCOM 300 School 60,0,0,0,0,0,0
    SBBCOM 300 School 61,0,0,0,0,0,0
    SBBCOM 300 School 64,0,0,0,0,0,0
    SBBCOM 300 School 65,0,0,0,0,0,0
    SBOA,1,0,0,0,0,4
    School_of_automation,0,0,0,0,2,1
        District School of Automation,0,0,0,0,11445,0
    SPL9 Elementary,2,2,1,8,1,3
        Automation institute,1,1,8,18,0,47
    SPL9 Middle School,2,2,0,7,5,5
    SPL9 Test,0,2,0,2,1,4
    Springfield Elementary,1,0,0,0,1000,0
    Springtime Elementary from UK,0,0,0,1,0,1
    St Barts,1,0,0,3,2,0
    St Francis Legacy,0,0,0,0,0,1
    St Patrick's Academy,0,0,0,0,0,1
    St. Antony's Higher Secondary School,1,1,4,4,4,0
    StageSchool,0,0,2,10,0,0
    Student Regression,1,1,2,2,2,0
    Sunnydale High School,0,0,9,11,11,1
    Sunshine High School,1,1,8,9,10,0
        Sunshine Elementary School,1,1,2,2,2,0
        Sunshine Middle School,1,1,4,2,2,0
    Sunshine school of education,1,1,2,7,2,1
    Test Demo 1,0,0,0,0,0,0
    Test site DMS,0,0,0,0,1000,0
    Test site2 DMS,0,0,0,0,1000,0
    Test SPL9 High School,12,25,16,47,39,10
    Tom Landry Middle School,5,60,100,12,106,0
    Velammal,1,0,0,0,0,7
    Washington Elementary School,0,0,0,0,0,0
    Westdale High School,3,1,3,10,7,2
