System Statistics Report
Created On:,"Nov 01, 2022"
School:,All
Date range:,"Oct 23, 2022 - Oct 29, 2022"
Delivery type:,"Printer, Phone - voice (inbound), Phone - TTY, Phone - text message (SMS), Internet (WWW), Phone - voice, E-Mail"
""
Organization,Delivery Method,# Messages
Assam Regression Reach School,Printer,0
Assam Regression Reach School,Phone - voice (inbound),0
Assam Regression Reach School,Phone - TTY,0
Assam Regression Reach School,Phone - text message (SMS),0
Assam Regression Reach School,Internet (WWW),0
Assam Regression Reach School,Phone - voice,0
Assam Regression Reach School,E-Mail,0
Assam Regression Reach School,Grand Totals,0
AtoZ school of education,Printer,0
AtoZ school of education,Phone - voice (inbound),0
AtoZ school of education,Phone - TTY,0
AtoZ school of education,Phone - text message (SMS),0
AtoZ school of education,Internet (WWW),0
AtoZ school of education,Phone - voice,0
AtoZ school of education,E-Mail,0
AtoZ school of education,Grand Totals,0
AtoZ Primary,Printer,0
AtoZ Primary,Phone - voice (inbound),0
AtoZ Primary,Phone - TTY,0
AtoZ Primary,Phone - text message (SMS),0
AtoZ Primary,Internet (WWW),0
AtoZ Primary,Phone - voice,0
AtoZ Primary,E-Mail,0
AtoZ Primary,Grand Totals,0
Auto Release 10.33,Printer,0
Auto Release 10.33,Phone - voice (inbound),0
Auto Release 10.33,Phone - TTY,0
Auto Release 10.33,Phone - text message (SMS),0
Auto Release 10.33,Internet (WWW),0
Auto Release 10.33,Phone - voice,0
Auto Release 10.33,E-Mail,0
Auto Release 10.33,Grand Totals,0
Automation Org - Do Not Delete,Printer,0
Automation Org - Do Not Delete,Phone - voice (inbound),0
Automation Org - Do Not Delete,Phone - TTY,0
Automation Org - Do Not Delete,Phone - text message (SMS),0
Automation Org - Do Not Delete,Internet (WWW),0
Automation Org - Do Not Delete,Phone - voice,0
Automation Org - Do Not Delete,E-Mail,6
Automation Org - Do Not Delete,Grand Totals,6
Bangalore school of education,Printer,0
Bangalore school of education,Phone - voice (inbound),0
Bangalore school of education,Phone - TTY,0
Bangalore school of education,Phone - text message (SMS),0
Bangalore school of education,Internet (WWW),0
Bangalore school of education,Phone - voice,0
Bangalore school of education,E-Mail,0
Bangalore school of education,Grand Totals,0
Bangalore - Kindergarden,Printer,0
Bangalore - Kindergarden,Phone - voice (inbound),0
Bangalore - Kindergarden,Phone - TTY,0
Bangalore - Kindergarden,Phone - text message (SMS),0
Bangalore - Kindergarden,Internet (WWW),0
Bangalore - Kindergarden,Phone - voice,0
Bangalore - Kindergarden,E-Mail,0
Bangalore - Kindergarden,Grand Totals,0
Bangalore school of education - Elementary,Printer,0
Bangalore school of education - Elementary,Phone - voice (inbound),0
Bangalore school of education - Elementary,Phone - TTY,0
Bangalore school of education - Elementary,Phone - text message (SMS),0
Bangalore school of education - Elementary,Internet (WWW),0
Bangalore school of education - Elementary,Phone - voice,0
Bangalore school of education - Elementary,E-Mail,0
Bangalore school of education - Elementary,Grand Totals,0
Bangalore school of education - High,Printer,0
Bangalore school of education - High,Phone - voice (inbound),0
Bangalore school of education - High,Phone - TTY,0
Bangalore school of education - High,Phone - text message (SMS),0
Bangalore school of education - High,Internet (WWW),0
Bangalore school of education - High,Phone - voice,0
Bangalore school of education - High,E-Mail,0
Bangalore school of education - High,Grand Totals,0
Bangalore school of education - Medium,Printer,0
Bangalore school of education - Medium,Phone - voice (inbound),0
Bangalore school of education - Medium,Phone - TTY,0
Bangalore school of education - Medium,Phone - text message (SMS),0
Bangalore school of education - Medium,Internet (WWW),0
Bangalore school of education - Medium,Phone - voice,0
Bangalore school of education - Medium,E-Mail,0
Bangalore school of education - Medium,Grand Totals,0
Bayside High School,Printer,0
Bayside High School,Phone - voice (inbound),0
Bayside High School,Phone - TTY,0
Bayside High School,Phone - text message (SMS),0
Bayside High School,Internet (WWW),0
Bayside High School,Phone - voice,0
Bayside High School,E-Mail,0
Bayside High School,Grand Totals,0
BBComms Performance DO NOT DELETE & DO NOT PERFORM ANY IMPORTS ON THIS,Printer,0
BBComms Performance DO NOT DELETE & DO NOT PERFORM ANY IMPORTS ON THIS,Phone - voice (inbound),0
BBComms Performance DO NOT DELETE & DO NOT PERFORM ANY IMPORTS ON THIS,Phone - TTY,0
BBComms Performance DO NOT DELETE & DO NOT PERFORM ANY IMPORTS ON THIS,Phone - text message (SMS),0
BBComms Performance DO NOT DELETE & DO NOT PERFORM ANY IMPORTS ON THIS,Internet (WWW),0
BBComms Performance DO NOT DELETE & DO NOT PERFORM ANY IMPORTS ON THIS,Phone - voice,0
BBComms Performance DO NOT DELETE & DO NOT PERFORM ANY IMPORTS ON THIS,E-Mail,0
BBComms Performance DO NOT DELETE & DO NOT PERFORM ANY IMPORTS ON THIS,Grand Totals,0
Branson Elementary,Printer,0
Branson Elementary,Phone - voice (inbound),0
Branson Elementary,Phone - TTY,0
Branson Elementary,Phone - text message (SMS),0
Branson Elementary,Internet (WWW),0
Branson Elementary,Phone - voice,0
Branson Elementary,E-Mail,0
Branson Elementary,Grand Totals,0
Demo School of education,Printer,0
Demo School of education,Phone - voice (inbound),0
Demo School of education,Phone - TTY,0
Demo School of education,Phone - text message (SMS),0
Demo School of education,Internet (WWW),0
Demo School of education,Phone - voice,0
Demo School of education,E-Mail,0
Demo School of education,Grand Totals,0
District School of Automation,Printer,0
District School of Automation,Phone - voice (inbound),0
District School of Automation,Phone - TTY,0
District School of Automation,Phone - text message (SMS),0
District School of Automation,Internet (WWW),0
District School of Automation,Phone - voice,0
District School of Automation,E-Mail,0
District School of Automation,Grand Totals,0
Game of Thrones Academy,Printer,0
Game of Thrones Academy,Phone - voice (inbound),0
Game of Thrones Academy,Phone - TTY,0
Game of Thrones Academy,Phone - text message (SMS),0
Game of Thrones Academy,Internet (WWW),0
Game of Thrones Academy,Phone - voice,0
Game of Thrones Academy,E-Mail,0
Game of Thrones Academy,Grand Totals,0
GT_School_of_education,Printer,0
GT_School_of_education,Phone - voice (inbound),0
GT_School_of_education,Phone - TTY,0
GT_School_of_education,Phone - text message (SMS),0
GT_School_of_education,Internet (WWW),0
GT_School_of_education,Phone - voice,0
GT_School_of_education,E-Mail,0
GT_School_of_education,Grand Totals,0
Global_school,Printer,0
Global_school,Phone - voice (inbound),0
Global_school,Phone - TTY,0
Global_school,Phone - text message (SMS),0
Global_school,Internet (WWW),0
Global_school,Phone - voice,0
Global_school,E-Mail,0
Global_school,Grand Totals,0
HAYS CISD,Printer,0
HAYS CISD,Phone - voice (inbound),0
HAYS CISD,Phone - TTY,0
HAYS CISD,Phone - text message (SMS),0
HAYS CISD,Internet (WWW),0
HAYS CISD,Phone - voice,0
HAYS CISD,E-Mail,0
HAYS CISD,Grand Totals,0
Hillsboro-Deering Elementary School,Printer,0
Hillsboro-Deering Elementary School,Phone - voice (inbound),0
Hillsboro-Deering Elementary School,Phone - TTY,0
Hillsboro-Deering Elementary School,Phone - text message (SMS),0
Hillsboro-Deering Elementary School,Internet (WWW),0
Hillsboro-Deering Elementary School,Phone - voice,0
Hillsboro-Deering Elementary School,E-Mail,0
Hillsboro-Deering Elementary School,Grand Totals,0
Hillsboro-Deering High School,Printer,0
Hillsboro-Deering High School,Phone - voice (inbound),0
Hillsboro-Deering High School,Phone - TTY,0
Hillsboro-Deering High School,Phone - text message (SMS),0
Hillsboro-Deering High School,Internet (WWW),0
Hillsboro-Deering High School,Phone - voice,0
Hillsboro-Deering High School,E-Mail,0
Hillsboro-Deering High School,Grand Totals,0
Hillsboro-Deering Middle School,Printer,0
Hillsboro-Deering Middle School,Phone - voice (inbound),0
Hillsboro-Deering Middle School,Phone - TTY,0
Hillsboro-Deering Middle School,Phone - text message (SMS),0
Hillsboro-Deering Middle School,Internet (WWW),0
Hillsboro-Deering Middle School,Phone - voice,0
Hillsboro-Deering Middle School,E-Mail,0
Hillsboro-Deering Middle School,Grand Totals,0
Hogwarts School of Wizardy and Witchcraft,Printer,0
Hogwarts School of Wizardy and Witchcraft,Phone - voice (inbound),0
Hogwarts School of Wizardy and Witchcraft,Phone - TTY,0
Hogwarts School of Wizardy and Witchcraft,Phone - text message (SMS),0
Hogwarts School of Wizardy and Witchcraft,Internet (WWW),0
Hogwarts School of Wizardy and Witchcraft,Phone - voice,0
Hogwarts School of Wizardy and Witchcraft,E-Mail,0
Hogwarts School of Wizardy and Witchcraft,Grand Totals,0
Hotfix school,Printer,0
Hotfix school,Phone - voice (inbound),0
Hotfix school,Phone - TTY,0
Hotfix school,Phone - text message (SMS),0
Hotfix school,Internet (WWW),0
Hotfix school,Phone - voice,0
Hotfix school,E-Mail,0
Hotfix school,Grand Totals,0
Independence High School,Printer,0
Independence High School,Phone - voice (inbound),0
Independence High School,Phone - TTY,0
Independence High School,Phone - text message (SMS),0
Independence High School,Internet (WWW),0
Independence High School,Phone - voice,0
Independence High School,E-Mail,0
Independence High School,Grand Totals,0
Infra regression,Printer,0
Infra regression,Phone - voice (inbound),0
Infra regression,Phone - TTY,0
Infra regression,Phone - text message (SMS),0
Infra regression,Internet (WWW),0
Infra regression,Phone - voice,0
Infra regression,E-Mail,0
Infra regression,Grand Totals,0
Kochi School of Education,Printer,0
Kochi School of Education,Phone - voice (inbound),0
Kochi School of Education,Phone - TTY,0
Kochi School of Education,Phone - text message (SMS),0
Kochi School of Education,Internet (WWW),0
Kochi School of Education,Phone - voice,0
Kochi School of Education,E-Mail,0
Kochi School of Education,Grand Totals,0
Kochi School of Education- Elementary,Printer,0
Kochi School of Education- Elementary,Phone - voice (inbound),0
Kochi School of Education- Elementary,Phone - TTY,0
Kochi School of Education- Elementary,Phone - text message (SMS),0
Kochi School of Education- Elementary,Internet (WWW),0
Kochi School of Education- Elementary,Phone - voice,0
Kochi School of Education- Elementary,E-Mail,0
Kochi School of Education- Elementary,Grand Totals,0
Kochi School of Education- Medium,Printer,0
Kochi School of Education- Medium,Phone - voice (inbound),0
Kochi School of Education- Medium,Phone - TTY,0
Kochi School of Education- Medium,Phone - text message (SMS),0
Kochi School of Education- Medium,Internet (WWW),0
Kochi School of Education- Medium,Phone - voice,0
Kochi School of Education- Medium,E-Mail,0
Kochi School of Education- Medium,Grand Totals,0
Mangalore Academy,Printer,0
Mangalore Academy,Phone - voice (inbound),0
Mangalore Academy,Phone - TTY,0
Mangalore Academy,Phone - text message (SMS),0
Mangalore Academy,Internet (WWW),0
Mangalore Academy,Phone - voice,0
Mangalore Academy,E-Mail,0
Mangalore Academy,Grand Totals,0
Mangalore Academy Elementary,Printer,0
Mangalore Academy Elementary,Phone - voice (inbound),0
Mangalore Academy Elementary,Phone - TTY,0
Mangalore Academy Elementary,Phone - text message (SMS),0
Mangalore Academy Elementary,Internet (WWW),0
Mangalore Academy Elementary,Phone - voice,0
Mangalore Academy Elementary,E-Mail,0
Mangalore Academy Elementary,Grand Totals,0
Mangalore Academy High,Printer,0
Mangalore Academy High,Phone - voice (inbound),0
Mangalore Academy High,Phone - TTY,0
Mangalore Academy High,Phone - text message (SMS),0
Mangalore Academy High,Internet (WWW),0
Mangalore Academy High,Phone - voice,0
Mangalore Academy High,E-Mail,0
Mangalore Academy High,Grand Totals,0
Mangalore Academy Junior,Printer,0
Mangalore Academy Junior,Phone - voice (inbound),0
Mangalore Academy Junior,Phone - TTY,0
Mangalore Academy Junior,Phone - text message (SMS),0
Mangalore Academy Junior,Internet (WWW),0
Mangalore Academy Junior,Phone - voice,0
Mangalore Academy Junior,E-Mail,0
Mangalore Academy Junior,Grand Totals,0
Marshall Middle School,Printer,0
Marshall Middle School,Phone - voice (inbound),0
Marshall Middle School,Phone - TTY,0
Marshall Middle School,Phone - text message (SMS),0
Marshall Middle School,Internet (WWW),0
Marshall Middle School,Phone - voice,0
Marshall Middle School,E-Mail,0
Marshall Middle School,Grand Totals,0
Masha School of Education,Printer,0
Masha School of Education,Phone - voice (inbound),0
Masha School of Education,Phone - TTY,0
Masha School of Education,Phone - text message (SMS),0
Masha School of Education,Internet (WWW),0
Masha School of Education,Phone - voice,0
Masha School of Education,E-Mail,0
Masha School of Education,Grand Totals,0
New oranization,Printer,0
New oranization,Phone - voice (inbound),0
New oranization,Phone - TTY,0
New oranization,Phone - text message (SMS),0
New oranization,Internet (WWW),0
New oranization,Phone - voice,0
New oranization,E-Mail,0
New oranization,Grand Totals,0
NL school of education,Printer,0
NL school of education,Phone - voice (inbound),0
NL school of education,Phone - TTY,0
NL school of education,Phone - text message (SMS),0
NL school of education,Internet (WWW),0
NL school of education,Phone - voice,0
NL school of education,E-Mail,0
NL school of education,Grand Totals,0
NM School,Printer,0
NM School,Phone - voice (inbound),0
NM School,Phone - TTY,0
NM School,Phone - text message (SMS),0
NM School,Internet (WWW),0
NM School,Phone - voice,0
NM School,E-Mail,0
NM School,Grand Totals,0
Performace Test Schoool,Printer,0
Performace Test Schoool,Phone - voice (inbound),0
Performace Test Schoool,Phone - TTY,0
Performace Test Schoool,Phone - text message (SMS),0
Performace Test Schoool,Internet (WWW),0
Performace Test Schoool,Phone - voice,0
Performace Test Schoool,E-Mail,0
Performace Test Schoool,Grand Totals,0
Prabhuram High School,Printer,0
Prabhuram High School,Phone - voice (inbound),0
Prabhuram High School,Phone - TTY,0
Prabhuram High School,Phone - text message (SMS),0
Prabhuram High School,Internet (WWW),0
Prabhuram High School,Phone - voice,0
Prabhuram High School,E-Mail,0
Prabhuram High School,Grand Totals,0
Public School Demo,Printer,0
Public School Demo,Phone - voice (inbound),0
Public School Demo,Phone - TTY,0
Public School Demo,Phone - text message (SMS),0
Public School Demo,Internet (WWW),0
Public School Demo,Phone - voice,0
Public School Demo,E-Mail,0
Public School Demo,Grand Totals,0
Query School,Printer,0
Query School,Phone - voice (inbound),0
Query School,Phone - TTY,0
Query School,Phone - text message (SMS),0
Query School,Internet (WWW),0
Query School,Phone - voice,0
Query School,E-Mail,0
Query School,Grand Totals,0
Reach Regression 25,Printer,0
Reach Regression 25,Phone - voice (inbound),0
Reach Regression 25,Phone - TTY,0
Reach Regression 25,Phone - text message (SMS),0
Reach Regression 25,Internet (WWW),0
Reach Regression 25,Phone - voice,0
Reach Regression 25,E-Mail,0
Reach Regression 25,Grand Totals,0
Regression 1.0 school,Printer,0
Regression 1.0 school,Phone - voice (inbound),0
Regression 1.0 school,Phone - TTY,0
Regression 1.0 school,Phone - text message (SMS),0
Regression 1.0 school,Internet (WWW),0
Regression 1.0 school,Phone - voice,0
Regression 1.0 school,E-Mail,0
Regression 1.0 school,Grand Totals,0
Regression 1.1 School,Printer,0
Regression 1.1 School,Phone - voice (inbound),0
Regression 1.1 School,Phone - TTY,0
Regression 1.1 School,Phone - text message (SMS),0
Regression 1.1 School,Internet (WWW),0
Regression 1.1 School,Phone - voice,0
Regression 1.1 School,E-Mail,0
Regression 1.1 School,Grand Totals,0
Regression Reach school,Printer,0
Regression Reach school,Phone - voice (inbound),0
Regression Reach school,Phone - TTY,0
Regression Reach school,Phone - text message (SMS),0
Regression Reach school,Internet (WWW),0
Regression Reach school,Phone - voice,0
Regression Reach school,E-Mail,0
Regression Reach school,Grand Totals,0
Regression Reach High school,Printer,0
Regression Reach High school,Phone - voice (inbound),0
Regression Reach High school,Phone - TTY,0
Regression Reach High school,Phone - text message (SMS),0
Regression Reach High school,Internet (WWW),0
Regression Reach High school,Phone - voice,0
Regression Reach High school,E-Mail,0
Regression Reach High school,Grand Totals,0
Regression1.8_Do_Not_Delete,Printer,0
Regression1.8_Do_Not_Delete,Phone - voice (inbound),0
Regression1.8_Do_Not_Delete,Phone - TTY,0
Regression1.8_Do_Not_Delete,Phone - text message (SMS),0
Regression1.8_Do_Not_Delete,Internet (WWW),0
Regression1.8_Do_Not_Delete,Phone - voice,0
Regression1.8_Do_Not_Delete,E-Mail,0
Regression1.8_Do_Not_Delete,Grand Totals,0
Release 10.29.0,Printer,0
Release 10.29.0,Phone - voice (inbound),0
Release 10.29.0,Phone - TTY,0
Release 10.29.0,Phone - text message (SMS),0
Release 10.29.0,Internet (WWW),0
Release 10.29.0,Phone - voice,0
Release 10.29.0,E-Mail,0
Release 10.29.0,Grand Totals,0
Release 10.29.0 Auto Import,Printer,0
Release 10.29.0 Auto Import,Phone - voice (inbound),0
Release 10.29.0 Auto Import,Phone - TTY,0
Release 10.29.0 Auto Import,Phone - text message (SMS),0
Release 10.29.0 Auto Import,Internet (WWW),0
Release 10.29.0 Auto Import,Phone - voice,0
Release 10.29.0 Auto Import,E-Mail,0
Release 10.29.0 Auto Import,Grand Totals,0
Release 10.30.0,Printer,0
Release 10.30.0,Phone - voice (inbound),0
Release 10.30.0,Phone - TTY,0
Release 10.30.0,Phone - text message (SMS),0
Release 10.30.0,Internet (WWW),0
Release 10.30.0,Phone - voice,0
Release 10.30.0,E-Mail,0
Release 10.30.0,Grand Totals,0
Release 10.30.0 Auto Import,Printer,0
Release 10.30.0 Auto Import,Phone - voice (inbound),0
Release 10.30.0 Auto Import,Phone - TTY,0
Release 10.30.0 Auto Import,Phone - text message (SMS),0
Release 10.30.0 Auto Import,Internet (WWW),0
Release 10.30.0 Auto Import,Phone - voice,0
Release 10.30.0 Auto Import,E-Mail,0
Release 10.30.0 Auto Import,Grand Totals,0
Release 10.31.0 Auto Import,Printer,0
Release 10.31.0 Auto Import,Phone - voice (inbound),0
Release 10.31.0 Auto Import,Phone - TTY,0
Release 10.31.0 Auto Import,Phone - text message (SMS),0
Release 10.31.0 Auto Import,Internet (WWW),0
Release 10.31.0 Auto Import,Phone - voice,0
Release 10.31.0 Auto Import,E-Mail,0
Release 10.31.0 Auto Import,Grand Totals,0
Release 10.32.0 Auto Import,Printer,0
Release 10.32.0 Auto Import,Phone - voice (inbound),0
Release 10.32.0 Auto Import,Phone - TTY,0
Release 10.32.0 Auto Import,Phone - text message (SMS),0
Release 10.32.0 Auto Import,Internet (WWW),0
Release 10.32.0 Auto Import,Phone - voice,0
Release 10.32.0 Auto Import,E-Mail,0
Release 10.32.0 Auto Import,Grand Totals,0
Release 10.34,Printer,0
Release 10.34,Phone - voice (inbound),0
Release 10.34,Phone - TTY,0
Release 10.34,Phone - text message (SMS),0
Release 10.34,Internet (WWW),0
Release 10.34,Phone - voice,0
Release 10.34,E-Mail,0
Release 10.34,Grand Totals,0
Release 10.36,Printer,0
Release 10.36,Phone - voice (inbound),0
Release 10.36,Phone - TTY,0
Release 10.36,Phone - text message (SMS),0
Release 10.36,Internet (WWW),0
Release 10.36,Phone - voice,0
Release 10.36,E-Mail,0
Release 10.36,Grand Totals,0
Release 10.39 _Auto Import,Printer,0
Release 10.39 _Auto Import,Phone - voice (inbound),0
Release 10.39 _Auto Import,Phone - TTY,0
Release 10.39 _Auto Import,Phone - text message (SMS),0
Release 10.39 _Auto Import,Internet (WWW),0
Release 10.39 _Auto Import,Phone - voice,0
Release 10.39 _Auto Import,E-Mail,0
Release 10.39 _Auto Import,Grand Totals,0
RG_DM_School,Printer,0
RG_DM_School,Phone - voice (inbound),0
RG_DM_School,Phone - TTY,0
RG_DM_School,Phone - text message (SMS),0
RG_DM_School,Internet (WWW),0
RG_DM_School,Phone - voice,0
RG_DM_School,E-Mail,0
RG_DM_School,Grand Totals,0
SAM_Institute,Printer,0
SAM_Institute,Phone - voice (inbound),0
SAM_Institute,Phone - TTY,0
SAM_Institute,Phone - text message (SMS),0
SAM_Institute,Internet (WWW),0
SAM_Institute,Phone - voice,0
SAM_Institute,E-Mail,0
SAM_Institute,Grand Totals,0
SAM_Elementary,Printer,0
SAM_Elementary,Phone - voice (inbound),0
SAM_Elementary,Phone - TTY,0
SAM_Elementary,Phone - text message (SMS),0
SAM_Elementary,Internet (WWW),0
SAM_Elementary,Phone - voice,0
SAM_Elementary,E-Mail,0
SAM_Elementary,Grand Totals,0
SBBCOM 300 School 37,Printer,0
SBBCOM 300 School 37,Phone - voice (inbound),0
SBBCOM 300 School 37,Phone - TTY,0
SBBCOM 300 School 37,Phone - text message (SMS),0
SBBCOM 300 School 37,Internet (WWW),0
SBBCOM 300 School 37,Phone - voice,0
SBBCOM 300 School 37,E-Mail,0
SBBCOM 300 School 37,Grand Totals,0
SBBCOM 300 School 38,Printer,0
SBBCOM 300 School 38,Phone - voice (inbound),0
SBBCOM 300 School 38,Phone - TTY,0
SBBCOM 300 School 38,Phone - text message (SMS),0
SBBCOM 300 School 38,Internet (WWW),0
SBBCOM 300 School 38,Phone - voice,0
SBBCOM 300 School 38,E-Mail,0
SBBCOM 300 School 38,Grand Totals,0
SBBCOM 300 School 39,Printer,0
SBBCOM 300 School 39,Phone - voice (inbound),0
SBBCOM 300 School 39,Phone - TTY,0
SBBCOM 300 School 39,Phone - text message (SMS),0
SBBCOM 300 School 39,Internet (WWW),0
SBBCOM 300 School 39,Phone - voice,0
SBBCOM 300 School 39,E-Mail,0
SBBCOM 300 School 39,Grand Totals,0
SBBCOM 300 School 40,Printer,0
SBBCOM 300 School 40,Phone - voice (inbound),0
SBBCOM 300 School 40,Phone - TTY,0
SBBCOM 300 School 40,Phone - text message (SMS),0
SBBCOM 300 School 40,Internet (WWW),0
SBBCOM 300 School 40,Phone - voice,0
SBBCOM 300 School 40,E-Mail,0
SBBCOM 300 School 40,Grand Totals,0
SBBCOM 300 School 41,Printer,0
SBBCOM 300 School 41,Phone - voice (inbound),0
SBBCOM 300 School 41,Phone - TTY,0
SBBCOM 300 School 41,Phone - text message (SMS),0
SBBCOM 300 School 41,Internet (WWW),0
SBBCOM 300 School 41,Phone - voice,0
SBBCOM 300 School 41,E-Mail,0
SBBCOM 300 School 41,Grand Totals,0
SBBCOM 300 School 42,Printer,0
SBBCOM 300 School 42,Phone - voice (inbound),0
SBBCOM 300 School 42,Phone - TTY,0
SBBCOM 300 School 42,Phone - text message (SMS),0
SBBCOM 300 School 42,Internet (WWW),0
SBBCOM 300 School 42,Phone - voice,0
SBBCOM 300 School 42,E-Mail,0
SBBCOM 300 School 42,Grand Totals,0
SBBCOM 300 School 43,Printer,0
SBBCOM 300 School 43,Phone - voice (inbound),0
SBBCOM 300 School 43,Phone - TTY,0
SBBCOM 300 School 43,Phone - text message (SMS),0
SBBCOM 300 School 43,Internet (WWW),0
SBBCOM 300 School 43,Phone - voice,0
SBBCOM 300 School 43,E-Mail,0
SBBCOM 300 School 43,Grand Totals,0
SBBCOM 300 School 45,Printer,0
SBBCOM 300 School 45,Phone - voice (inbound),0
SBBCOM 300 School 45,Phone - TTY,0
SBBCOM 300 School 45,Phone - text message (SMS),0
SBBCOM 300 School 45,Internet (WWW),0
SBBCOM 300 School 45,Phone - voice,0
SBBCOM 300 School 45,E-Mail,0
SBBCOM 300 School 45,Grand Totals,0
SBBCOM 300 School 46,Printer,0
SBBCOM 300 School 46,Phone - voice (inbound),0
SBBCOM 300 School 46,Phone - TTY,0
SBBCOM 300 School 46,Phone - text message (SMS),0
SBBCOM 300 School 46,Internet (WWW),0
SBBCOM 300 School 46,Phone - voice,0
SBBCOM 300 School 46,E-Mail,0
SBBCOM 300 School 46,Grand Totals,0
SBBCOM 300 School 47,Printer,0
SBBCOM 300 School 47,Phone - voice (inbound),0
SBBCOM 300 School 47,Phone - TTY,0
SBBCOM 300 School 47,Phone - text message (SMS),0
SBBCOM 300 School 47,Internet (WWW),0
SBBCOM 300 School 47,Phone - voice,0
SBBCOM 300 School 47,E-Mail,0
SBBCOM 300 School 47,Grand Totals,0
SBBCOM 300 School 49,Printer,0
SBBCOM 300 School 49,Phone - voice (inbound),0
SBBCOM 300 School 49,Phone - TTY,0
SBBCOM 300 School 49,Phone - text message (SMS),0
SBBCOM 300 School 49,Internet (WWW),0
SBBCOM 300 School 49,Phone - voice,0
SBBCOM 300 School 49,E-Mail,0
SBBCOM 300 School 49,Grand Totals,0
SBBCOM 300 School 50,Printer,0
SBBCOM 300 School 50,Phone - voice (inbound),0
SBBCOM 300 School 50,Phone - TTY,0
SBBCOM 300 School 50,Phone - text message (SMS),0
SBBCOM 300 School 50,Internet (WWW),0
SBBCOM 300 School 50,Phone - voice,0
SBBCOM 300 School 50,E-Mail,0
SBBCOM 300 School 50,Grand Totals,0
SBBCOM 300 School 51,Printer,0
SBBCOM 300 School 51,Phone - voice (inbound),0
SBBCOM 300 School 51,Phone - TTY,0
SBBCOM 300 School 51,Phone - text message (SMS),0
SBBCOM 300 School 51,Internet (WWW),0
SBBCOM 300 School 51,Phone - voice,0
SBBCOM 300 School 51,E-Mail,0
SBBCOM 300 School 51,Grand Totals,0
SBBCOM 300 School 53,Printer,0
SBBCOM 300 School 53,Phone - voice (inbound),0
SBBCOM 300 School 53,Phone - TTY,0
SBBCOM 300 School 53,Phone - text message (SMS),0
SBBCOM 300 School 53,Internet (WWW),0
SBBCOM 300 School 53,Phone - voice,0
SBBCOM 300 School 53,E-Mail,0
SBBCOM 300 School 53,Grand Totals,0
