Message Tracking Report
Created On:,"Nov 01, 2022"
School:,All
Date range:,"Oct 23, 2022 - Oct 29, 2022"
Delivery time:,"active, pending, complete"
Message category:,All
Deliver via:,All
""
ID,Message,Type,Sender,School,Start Time,Status,Delivered,Total,Phone Delivered,Phone Attempted/Completed,Email Delivered,Email Attempted/Completed,Text/SMS Delivered,Text/SMS Attempted/Completed
2001094678,Oct 25 2022 12:27:46 : Automation testing for RSS Message,RSS,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 02:59 AM",Posted,0,0,0,0,0,0,0,0
2001094679,Testing,Email,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 03:33 AM",Complete,0,1,0,0,0,1,0,0
2001094681,Oct 25 2022 14:35:48 : Automation testing for Twitter Message with GIF and JPEG Attachment,Twitter,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 05:06 AM",Posted,0,0,0,0,0,0,0,0
2001094682,Oct 25 2022 14:37:41 : Automation testing for Email Message,Email,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 05:09 AM",Complete,0,1,0,0,0,1,0,0
2001094683,Oct 25 2022 14:39:57 : Automation testing for App Message,App,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 05:11 AM",Posted,0,0,0,0,0,0,0,0
2001094684,Oct 25 2022 14:41:55 : Automation testing for RSS Message,RSS,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 05:13 AM",Posted,0,0,0,0,0,0,0,0
2001094685,Oct 25 2022 14:48:47 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 05:19 AM",Complete,0,1,1,1,0,1,1,1
2001094686,Oct 25 2022 15:10:04 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 05:40 AM",Complete,0,1,1,1,0,1,1,1
2001094687,"Message - 25/10/22, 7:55 AM",,V Test,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 07:55 AM",Complete,0,452,0,0,0,0,0,0
2001094688,"Message - 25/10/22, 7:59 AM",,V Test,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 07:59 AM",Complete,1,452,0,0,0,0,0,0
2001094691,"Message - 25/10/22, 8:12 AM",,V Test,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 08:14 AM",Complete,1,452,0,0,0,0,0,0
2001094694,Message - 10/25/22 8:23 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 08:23 AM",Complete,1,452,0,0,0,0,0,0
2001094695,Oct 26 2022 00:45:52 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 03:16 PM",Complete,0,1,1,1,0,1,1,1
2001094696,Oct 26 2022 01:01:51 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 03:32 PM",Complete,0,1,0,1,0,1,0,1
2001094697,Oct 26 2022 01:21:55 : Automation testing for Twitter Message with GIF and JPEG Attachment,Twitter,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 03:52 PM",Posted,0,0,0,0,0,0,0,0
2001094698,Oct 26 2022 01:34:08 : Automation testing for Twitter Message with GIF and JPEG Attachment,Twitter,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 04:04 PM",Posted,0,0,0,0,0,0,0,0
2001094699,Oct 26 2022 01:41:07 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 25, 2022 04:12 PM",Complete,0,1,0,1,0,1,0,1
2001094700,Oct 26 2022 14:40:40 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 26, 2022 05:11 AM",Complete,0,1,1,1,0,1,1,1
2001094701,Oct 26 2022 15:00:47 : Automation testing for All DeliveryMethods Message,"Phone,Email,Text/SMS,Facebook,Twitter,Website,Alert,RSS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 26, 2022 05:31 AM",Complete,1,1,1,1,0,1,1,1
2001094702,"Message - 26/10/22, 9:07 AM",,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 26, 2022 09:08 AM",Complete,0,452,0,0,0,0,0,0
2001094703,Message - 10/27/22 4:52 am,,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 04:52 AM",Complete,1,452,0,0,0,0,0,0
2001094704,"Testing email, phone and sms","Phone,Email,Text/SMS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 05:36 AM",Complete,1,1,1,1,0,1,1,1
2001094705,Oct 27 2022 16:16:12 : Automation testing for Email Message,Email,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 06:46 AM",Complete,0,1,0,0,0,1,0,0
2001094706,Oct 27 2022 16:18:13 : Automation testing for Facebook Message,Facebook,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 06:48 AM",Posted,0,0,0,0,0,0,0,0
2001094707,Oct 27 2022 16:20:29 : This is phone call Message subject sent via automation testing,Phone,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 06:50 AM",Complete,1,1,1,1,0,0,0,0
2001094708,Oct 27 2022 16:22:16 : This is SMS Message subject sent via automation testing,Text/SMS,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 06:52 AM",Complete,1,1,0,0,0,0,1,1
2001094709,Oct 27 2022 16:26:03 : Automation testing for Twitter Message,Twitter,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 06:56 AM",Posted,0,0,0,0,0,0,0,0
2001094710,Oct 27 2022 16:28:21 : Automation testing for Twitter Message with JPG Attachment,Twitter,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 06:59 AM",Posted,0,0,0,0,0,0,0,0
2001094712,Get started with SPL9 School District 99-3 R 10/39,Email,Automation Org - Do Not Delete,Automation Org - Do Not Delete,"Oct 27, 2022 11:41 AM UTC",Complete,0,10,0,0,0,10,0,0
2001094713,Testing,"Phone,Email,Text/SMS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 07:53 AM",Complete,1,7,1,7,0,7,0,7
2001094714,Get started with SPL9 School District 99-3 R 10/39,Email,Automation Org - Do Not Delete,Automation Org - Do Not Delete,"Oct 27, 2022 12:18 PM UTC",Complete,0,1,0,0,0,1,0,0
2001094715,Student_Testing,"Phone,Email",SPL9 School District 99-3 R 10/39,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 08:22 AM",Complete,6,40,40,40,0,40,0,0
2001094716,Student_Testing,"Phone,Email",SPL9 School District 99-3 R 10/39,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 08:32 AM",Complete,6,17,17,17,0,17,0,0
2001094717,Student_Testing,"Phone,Email",SPL9 School District 99-3 R 10/39,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 08:34 AM",Complete,6,6,6,6,0,6,0,0
2001094718,Student_Testing,"Phone,Email",SPL9 School District 99-3 R 10/39,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 08:35 AM",Complete,6,6,6,6,0,6,0,0
2001094719,Get started with SPL9 School District 99-3 R 10/39,Email,Automation Org - Do Not Delete,Automation Org - Do Not Delete,"Oct 27, 2022 12:54 PM UTC",Complete,0,106,0,0,0,106,0,0
2001094720,Get started with SPL9 School District 99-3 R 10/39,Email,Automation Org - Do Not Delete,Automation Org - Do Not Delete,"Oct 27, 2022 01:04 PM UTC",Complete,0,11,0,0,0,11,0,0
2001094721,Get started with SPL9 School District 99-3 R 10/39,Email,Automation Org - Do Not Delete,Automation Org - Do Not Delete,"Oct 27, 2022 01:06 PM UTC",Complete,0,50,0,0,0,50,0,0
2001094723,Phone Text-to-speech,Phone,Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 10:18 AM",Complete,1,1,1,1,0,0,0,0
2001094724,"Message - 27/10/22, 10:28 AM",,V Test,SPL9 School District 99-3 R 10/39,"Oct 27, 2022 10:29 AM",Complete,0,407,0,0,0,0,0,0
2001094711,Get started with SPL9 School District 99-3 R 10/39,Email,Automation Org - Do Not Delete,Automation Org - Do Not Delete,"Oct 28, 2022 03:30 AM UTC",Canceled,0,10,0,0,0,10,0,0
2001094725,Testing,"Phone,Email,Text/SMS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 28, 2022 12:13 AM",Complete,0,6,0,6,0,6,0,6
2001094726,test,"Phone,Text/SMS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 28, 2022 12:42 AM",Complete,0,1,0,1,0,0,0,1
2001094727,testing kite,"Phone,Text/SMS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 28, 2022 04:15 AM",Complete,1,1,1,1,0,0,0,1
2001094728,Testing,"Phone,Email,Text/SMS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 28, 2022 05:46 AM",Complete,3,13,2,13,1,13,0,13
2001094729,Testing,"Phone,Email,Text/SMS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 28, 2022 07:50 AM",Complete,3,10,1,10,2,10,0,10
2001094730,Testing,"Phone,Email,Text/SMS",Parlant Technology Support,SPL9 School District 99-3 R 10/39,"Oct 28, 2022 07:52 AM",Complete,3,11,2,11,1,11,0,11
