ParentLink Settings Report
Created On:,"Nov 01, 2022"
School:,SPL9 School District 99-3 R 10/39
""
Setting,Description,Value
CALENDARS_MY_EVENTS_ENABLED,,TRUE
CAP_DEFAULT_DELIVERY,,FALSE
CLASSESINFOENABLED,,TRUE
COMBINEACCOUNTS_ENABLED,"Automatically combine imported accounts that have the same name, phone number, and type",TRUE
COMMUNITYMESSENGERENABLED,,TRUE
COMMUNITYMESSENGERLOGINALLOWED,,TRUE
COMMUNITY_APP_BUTTON_ORDER,,"19104, 19209, 19108, 19106, 19101, 19098, 19110, 19103, 19099, 19107, 19197, 19113, 19100, 19102, 19105, 19094, 19095, 471, 19249, 19010, 469, 18771, 11645, 19178, 19195, 19215, 19211, 19212, 19210, 19213, 19214, 19239, 19231, 19218, 19270, 19269, 19219, 19220, 19221, 19222, 19223, 19224, 19225, 19226, 19227, 19228, 19229, 19230, 19217, 19216, 19237, 19252, 19109, 19274"
COMMUNITY_APP_DEFAULT_DELIVERY,,FALSE
COMMUNITY_APP_REQUIRE_LOGIN,,FALSE
COMMUNITY_APP_TOP_STORY_FEEDS,,"3707, 3814, 3815, 3816"
CONNECT5_EMAIL,,FALSE
CONNECT5_PHONE,,FALSE
CONNECT5_SMS,,FALSE
CONNECT_API_KEY,,2109818EMxj
CONNECT_API_SECRET,,wxC9zAR46C3Adr4
CONNECT_CLIENT,,TRUE
CUSTOMCALLERID,,8009991111
CUSTOMREPLYTOEMAIL,,"('Jasper', 'jasper@bbcomms.com'), ('Felix', 'felix@bbcomms.com'), ('99-3 District', '993_District@bbcomms.com'), ('prabhu', 'prabhu\\rajendran@blackboard.com'), ('Bindhu', 'bindhuja.dinakaran@blackboard.com'), ('bin\\dhu', 'bindhu\\dinakaran@blackboard.com'), ('Prabhu', 'prabhuram.nehru@blackboard.com')"
DASHBOARDATTENDANCECODES,,"A, T, U"
DEFAULTALLOWRESPONSE,,FALSE
DEFAULTBATCHEXPIRETIME,,0
DEFAULTBATCHSTARTTIME,,0
DEFAULTDELIVERTOPARENTS,,FALSE
DELIVERYORDERHOME_PHONE,Delivery order for home phones,1
DELIVERYORDERMOBILE_PHONE,Delivery order for mobile phones,2
DELIVERYORDEROTHER_PHONE,Delivery order for other phones,2
DELIVERYORDERWORK_PHONE,Delivery order for work phones,2
DIRECTORYROLEGROUPS,,
DIRECTORYVIPS,,
DIRECTORY_USE_REPLY_TO,,FALSE
ECS_TESTMODE,,FALSE
EFUNDS_DISTRICT_NUMBER,,None
EFUNDS_PASSWORD,,None
EFUNDS_SECURITY_KEY,,None
EFUNDS_USERNAME,,None
EMAILPRIORITYROLLOVERLABELS,,"primary, email2, email3, email4"
EMAIL_DEFAULT_DELIVERY,,FALSE
ENABLEACTIVITYSTREAM,,FALSE
ENABLEAUDIOLENGTHWARNING,,TRUE
ENABLEAUTOTRANSLATE,,TRUE
ENABLECAPPOST,,FALSE
ENABLECOMMUNITYAPPPOST,,TRUE
ENABLECOMMUNITYAPPPOSTTEACHER,,FALSE
ENABLEDELIVERTOPARENTS,,FALSE
ENABLEEMAIL,Allow sending messages by email,TRUE
ENABLEEMAILTEACHER,,TRUE
ENABLEFAX,Allow sending messages by fax,FALSE
ENABLEGRADETRIGGERS,,FALSE
ENABLEIM,Allow sending messages by instant message,FALSE
ENABLELANGUAGEGREETING,Allow users to choose their default language during the first callout,FALSE
ENABLEMOBILEWEB,,TRUE
ENABLENEWSEND,,TRUE
ENABLENEWSENDMOBILE,,TRUE
ENABLENEWSENDTOGGLE,,TRUE
ENABLEPAGER,Allow sending messages to pagers,FALSE
ENABLEPHONE,Allow sending messages by phone,TRUE
ENABLEPHONETEACHER,,FALSE
ENABLEPRINT,Allow printing messages as letters,FALSE
ENABLEPUSH,,FALSE
ENABLEPUSHNOTIFICATIONMICROSERVICE,,TRUE
ENABLERSSPOST,,TRUE
ENABLESMS,,TRUE
ENABLESMSTEACHER,,TRUE
ENABLEWELCOMEPASSWORDEMAIL,,TRUE
ENABLE_MARKETPLACE,,FALSE
ENABLE_MICROPHONE_RECORDING,,TRUE
ENABLE_PEACH_JAR,,FALSE
ENABLE_SMS_WELCOME_MESSAGES,,FALSE
ENABLE_TCPA,,TRUE
ENABLE_TCPA_SMS_FOOTER,,TRUE
ENABLE_XMPP_PUSH,,TRUE
EULATEXT,,"http://sanriotown.com
http://c2.cnqa.schoolwires.net/cms/Workspace/Site/Site.aspx?DomainId=4
test@test.test
8888888888"
EXPEDITESYSTEMMESSAGES,,FALSE
EXTERNALLYVISIBLE,,TRUE
EXTERNALWEBSITEURL,,
FACEBOOKAPPACCESSTOKEN,,
FACEBOOKORGACCESSTOKEN,,CAAKuOskOIVsBADL05ApZBiTOIr4pAmTbQOuKZA4UK5jCIhlWjXhkNEzCJP7Ys1PTl6QSO2elqAoDQuoJTBb9teCNZBzUKSYtYZBSSf6Biy1lIZCTJZB8lDYD6zT5kRVGmNM74ZCF0Ym9rd07T49rnpTbIZAAblVC830osMZBwtoKbmWsIE2RzWJLGs6XouBkvrBjsCfz8ylim16kX1xxpRCSA
FACEBOOKORGPAGEID,,206781956005986
FACEBOOK_DEFAULT_DELIVERY,,FALSE
FAX_DEFAULT_DELIVERY,,FALSE
FEEDENTRYMAXAGE,,365
FORGOT_PASSWORD_APP,,TRUE
FORGOT_PASSWORD_WEB,,TRUE
GRADE_ALERT_THRESHOLD_STYLE,,TRADITIONAL_PLUSMINUS
HASBRANDEDAPP,,TRUE
IMPORTMGR_COPYFILES_TIMEOUT,,40
IMPORTUPDATEPASSWORD,,TRUE
IMPORTUPDATEUSERNAME,,TRUE
ISDN_INNUMBER,Caller ID number,8013739669
LASTENDSCHOOLYEAR,The last time the end school year routine was run,
LASTSTUDENTIMPORT,The last time the begins school year routine was run,
LAUNCH_APP_LINKS_EXTERNALLY,,FALSE
LCPPRINTREDIRECT,Redirect LCP output to log files,0
LDAPALLOWSELFSIGNEDCERT,,TRUE
LDAPBASEDN,,"dc=bbbb,dc=net"
LDAPBINDACCOUNTPASSWORD,,I8MDQNVaXe8Xcz+oew/4v87gdyj64ARnJfgzfuucWVc=
LDAPBINDACCOUNTUSER,,bnyman@bbbb.net
LDAPCACERTIFICATE,LDAP CA Certificate,
LDAPDNLOOKUP,,TRUE
LDAPENABLED,LDAP authentication enabled,TRUE
LDAPSERVERURI,LDAP server URI,ldaps://corporate-ad.bbstack.net
LDAPSTARTTLS,,FALSE
LIBRARYINFOENABLED,,TRUE
LIBRARYLINK,,https://www.d47.org/site/handlers/filedownload.ashx?moduleinstanceid=2162&dataid=4338&FileName=SCHOOLDISTRICT472017-2018narrativecalendar.docx.pdf
LIBRARY_APP,,0
LIVEDATAENABLED,,FALSE
LOGINHELPTEXT,,Login Help Text Area Test on the 99-3 site
LOGINHELPTEXTSHOWONWEB,,TRUE
MARKETPLACE_SOURCE,,EFUNDS
MASTERYLEVELGRADES,,FALSE
MAXPHONERATE,,0
MAXUPLOADPHONE,,5
MEALCOSTBREAKFAST,Cost of breakfast,
MEALCOSTLUNCH,Cost of lunch,$25
MEALCOSTPREPAIDBREAKFAST,Cost of pre-paid breakfast,
MEALCOSTPREPAIDLUNCH,Cost of pre-paid lunch,$27
MESSAGETOUCHTONETIMEOUT,,5
MINPASSWORDLENGTH,,2
MISSINGASSIGNMENTSENABLED,,TRUE
